2026-02-24 10:42:23 | INFO     | prophet | n_changepoints greater than number of observations. Using 1.
2026-02-24 10:42:24 | INFO     | prophet | n_changepoints greater than number of observations. Using 4.
2026-02-24 10:42:24 | INFO     | prophet | n_changepoints greater than number of observations. Using 4.
2026-02-24 10:42:31 | INFO     | prophet | n_changepoints greater than number of observations. Using 5.
2026-02-24 10:42:31 | INFO     | prophet | n_changepoints greater than number of observations. Using 5.
2026-02-24 10:42:32 | INFO     | prophet | n_changepoints greater than number of observations. Using 3.
2026-02-24 10:42:32 | INFO     | prophet | n_changepoints greater than number of observations. Using 3.
2026-02-24 10:42:32 | INFO     | prophet | n_changepoints greater than number of observations. Using 5.
2026-02-24 10:42:32 | INFO     | prophet | n_changepoints greater than number of observations. Using 5.
2026-02-24 10:42:33 | INFO     | prophet | n_changepoints greater than number of observations. Using 6.
2026-02-24 10:42:33 | INFO     | prophet | n_changepoints greater than number of observations. Using 6.
2026-02-24 10:42:33 | INFO     | prophet | n_changepoints greater than number of observations. Using 7.
2026-02-24 10:42:33 | INFO     | prophet | n_changepoints greater than number of observations. Using 7.
2026-02-24 10:42:34 | INFO     | prophet | n_changepoints greater than number of observations. Using 6.
2026-02-24 10:42:34 | INFO     | prophet | n_changepoints greater than number of observations. Using 6.
2026-02-24 10:42:34 | INFO     | prophet | n_changepoints greater than number of observations. Using 5.
2026-02-24 10:42:34 | INFO     | prophet | n_changepoints greater than number of observations. Using 5.
2026-02-24 10:42:34 | INFO     | prophet | n_changepoints greater than number of observations. Using 6.
2026-02-24 10:42:34 | INFO     | prophet | n_changepoints greater than number of observations. Using 6.
2026-02-24 10:42:35 | INFO     | prophet | n_changepoints greater than number of observations. Using 6.
2026-02-24 10:42:35 | INFO     | prophet | n_changepoints greater than number of observations. Using 6.
2026-02-24 10:42:35 | INFO     | prophet | n_changepoints greater than number of observations. Using 7.
2026-02-24 10:42:35 | INFO     | prophet | n_changepoints greater than number of observations. Using 7.
2026-02-24 10:42:36 | INFO     | prophet | n_changepoints greater than number of observations. Using 6.
2026-02-24 10:42:36 | INFO     | prophet | n_changepoints greater than number of observations. Using 6.
2026-02-24 10:42:37 | INFO     | prophet | n_changepoints greater than number of observations. Using 3.
2026-02-24 10:42:37 | INFO     | prophet | n_changepoints greater than number of observations. Using 3.
2026-02-24 10:42:40 | INFO     | prophet | n_changepoints greater than number of observations. Using 1.
